날짜,종가,전일비,시가,고가,저가,거래량
2023.07.10,"128,100","2,700","130,500","133,300","126,800","405,758"
2023.07.07,"130,800","1,700","132,000","133,300","129,100","306,242"
2023.07.06,"132,500","3,300","136,000","136,900","131,800","445,269"
2023.07.05,"135,800",200,"134,600","137,600","131,000","429,583"
2023.07.04,"136,000","5,700","130,300","138,400","128,000","569,405"
2023.07.03,"130,300",500,"130,800","131,000","126,400","397,182"
2023.06.30,"130,800","5,900","127,400","133,600","126,700","627,590"
2023.06.29,"124,900","2,300","122,300","128,000","122,300","376,280"
2023.06.28,"122,600","2,300","126,300","126,500","122,500","413,691"
2023.06.27,"124,900","5,100","129,300","130,300","122,300","794,119"
2023.06.26,"130,000","1,300","129,300","131,400","128,500","329,926"
2023.06.23,"131,300","2,700","134,300","134,400","129,900","451,279"
2023.06.22,"134,000",400,"132,400","135,900","132,200","275,296"
2023.06.21,"134,400","4,400","138,700","140,600","133,500","425,154"
2023.06.20,"138,800","2,700","135,800","139,200","135,100","371,580"
2023.06.19,"136,100",100,"136,200","136,400","133,300","244,897"
2023.06.16,"136,000","1,000","137,400","137,900","135,000","261,448"
2023.06.15,"137,000","2,000","136,200","138,600","135,300","364,569"
2023.06.14,"135,000","1,800","133,200","138,700","133,200","612,243"
2023.06.13,"133,200",800,"132,500","134,500","130,900","332,287"
2023.06.12,"132,400","1,200","132,400","132,800","129,000","393,686"
2023.06.09,"131,200","2,900","128,700","134,300","127,700","619,138"
2023.06.08,"128,300",800,"126,800","129,000","126,500","425,623"
2023.06.07,"127,500","1,200","125,500","129,200","123,700","426,654"
2023.06.05,"126,300","2,400","127,300","128,700","123,300","417,960"
2023.06.02,"128,700","1,400","127,300","130,300","124,700","577,949"
2023.06.01,"127,300","5,300","122,200","128,900","121,400","776,275"
2023.05.31,"122,000",200,"120,100","126,600","118,400","867,700"
2023.05.30,"122,200","8,500","114,400","122,500","113,300","841,508"
2023.05.26,"113,700","1,400","112,400","116,100","110,200","307,002"
2023.05.25,"112,300","1,200","111,800","114,500","109,600","416,122"
2023.05.24,"113,500","2,200","116,400","116,400","111,400","435,191"
2023.05.23,"115,700","1,600","114,800","116,300","113,700","422,033"
2023.05.22,"114,100","1,600","115,700","115,700","112,500","459,449"
2023.05.19,"115,700","4,100","120,100","120,500","114,500","594,242"
2023.05.18,"119,800",300,"118,900","120,900","116,500","599,196"
2023.05.17,"119,500","4,100","112,300","120,400","112,200","1,478,262"
2023.05.16,"115,400","19,900","105,000","115,800","105,000","3,329,160"
2023.05.15,"95,500","1,200","94,600","95,500","92,200","601,239"
2023.05.12,"94,300","2,300","93,600","96,400","92,500","836,365"
2023.05.11,"92,000",800,"93,400","93,400","90,000","421,970"
2023.05.10,"92,800",900,"92,400","93,500","91,600","191,761"
2023.05.09,"91,900",300,"92,200","93,200","91,100","226,317"
2023.05.08,"92,200","2,700","96,000","96,000","91,400","387,678"
2023.05.04,"94,900",100,"94,800","95,500","92,700","301,352"
2023.05.03,"94,800","1,000","94,000","96,800","93,300","609,696"
2023.05.02,"93,800","3,600","90,400","96,100","90,100","754,480"
2023.04.28,"90,200","2,200","88,500","91,500","88,000","484,950"
2023.04.27,"88,000",300,"87,800","89,600","86,800","359,270"
2023.04.26,"87,700","1,900","85,500","89,000","85,400","482,878"
2023.04.25,"85,800",300,"86,100","87,500","84,900","228,941"
2023.04.24,"86,100",400,"85,600","87,400","84,800","281,343"
2023.04.21,"85,700",600,"86,200","86,800","83,600","344,010"
2023.04.20,"86,300","1,700","88,800","89,300","85,300","550,265"
2023.04.19,"88,000",200,"88,200","88,600","86,700","250,351"
2023.04.18,"87,800",500,"88,300","91,500","87,200","502,716"
2023.04.17,"88,300","3,300","86,500","89,000","85,400","503,184"
2023.04.14,"85,000","4,400","82,400","87,700","82,000","1,110,757"
2023.04.13,"80,600","4,700","76,500","81,200","76,500","1,227,532"
2023.04.12,"75,900",700,"76,400","77,100","75,000","237,099"
2023.04.11,"76,600",200,"76,500","77,300","75,600","181,235"
2023.04.10,"76,400",800,"77,700","77,700","75,800","219,876"
2023.04.07,"77,200",700,"78,700","78,800","76,400","321,493"
2023.04.06,"77,900",700,"77,100","79,800","76,600","443,413"
2023.04.05,"77,200",900,"78,400","78,800","77,000","197,312"
2023.04.04,"78,100","1,200","77,300","78,100","76,600","279,564"
2023.04.03,"76,900",500,"77,900","79,100","76,200","244,576"
2023.03.31,"77,400",100,"77,100","78,100","76,100","179,550"
2023.03.30,"77,500",300,"76,900","78,100","76,500","240,194"
2023.03.29,"77,200",100,"76,600","77,600","75,900","289,666"
2023.03.28,"77,300","5,200","72,700","77,700","72,500","708,284"
2023.03.27,"72,100",500,"73,000","75,000","71,300","317,553"
2023.03.24,"72,600","3,500","69,200","73,200","68,500","658,413"
2023.03.23,"69,100",800,"68,200","69,500","67,500","364,333"
2023.03.22,"68,300","1,600","70,200","70,200","67,900","517,985"
2023.03.21,"69,900",200,"71,000","71,100","68,700","387,766"
2023.03.20,"70,100","2,000","72,500","72,800","69,800","461,972"
2023.03.17,"72,100","2,300","70,900","73,600","69,900","477,963"
2023.03.16,"69,800","1,900","71,100","71,200","68,500","648,855"
2023.03.15,"71,700",200,"72,400","72,700","70,700","499,599"
2023.03.14,"71,500",400,"72,100","72,800","71,100","562,632"
2023.03.13,"71,100","6,600","74,800","75,700","70,300","1,150,978"
2023.03.10,"77,700",800,"77,800","79,800","77,200","281,856"
2023.03.09,"78,500","1,500","80,000","80,000","77,600","425,733"
2023.03.08,"80,000","2,100","78,700","81,300","78,100","615,694"
2023.03.07,"77,900","1,200","77,600","80,000","77,000","548,056"
2023.03.06,"76,700",800,"77,200","77,800","75,200","495,800"
2023.03.03,"77,500",0,"77,900","78,000","75,700","333,365"
2023.03.02,"77,500","1,200","78,700","79,100","77,000","321,114"
2023.02.28,"78,700","2,600","76,600","79,500","76,000","440,422"
2023.02.27,"76,100",200,"75,300","76,800","74,900","234,522"
2023.02.24,"75,900",400,"76,400","76,700","75,000","277,332"
2023.02.23,"76,300",300,"76,000","76,500","73,700","469,490"
2023.02.22,"76,000","3,000","74,100","77,600","73,600","1,008,262"
2023.02.21,"73,000","1,000","74,000","74,400","72,300","197,430"
2023.02.20,"74,000","2,200","71,800","74,900","71,800","516,907"
2023.02.17,"71,800",500,"71,300","72,100","70,500","408,007"
2023.02.16,"72,300",600,"71,800","72,500","71,400","342,693"
2023.02.15,"71,700","1,500","73,600","73,700","71,100","444,021"
2023.02.14,"73,200",400,"73,300","73,300","71,700","365,313"
2023.02.13,"72,800",500,"73,300","74,800","72,600","280,672"
2023.02.10,"73,300",700,"74,100","75,600","72,600","660,274"
2023.02.09,"72,600",0,"72,700","74,000","71,600","422,358"
2023.02.08,"72,600",800,"72,400","73,400","71,700","316,641"
2023.02.07,"71,800",400,"71,800","73,300","70,900","350,664"
2023.02.06,"71,400","1,400","72,800","73,100","71,100","273,153"
2023.02.03,"72,800",700,"72,300","73,500","71,400","320,182"
2023.02.02,"72,100",0,"72,600","73,100","70,800","264,698"
2023.02.01,"72,100",400,"72,800","73,000","71,500","210,046"
2023.01.31,"72,500","2,000","70,200","73,000","70,100","380,705"
2023.01.30,"70,500",600,"71,300","71,800","70,100","217,376"
2023.01.27,"71,100","2,500","69,000","71,500","68,800","493,335"
2023.01.26,"68,600","1,100","67,600","69,600","66,800","441,583"
2023.01.25,"67,500",600,"67,400","68,200","66,700","274,608"
2023.01.20,"66,900",0,"67,100","67,600","65,700","434,430"
2023.01.19,"66,900","2,100","64,600","67,400","64,400","534,076"
2023.01.18,"64,800",900,"64,200","65,200","63,800","357,493"
2023.01.17,"63,900",100,"64,000","64,800","63,200","330,709"
2023.01.16,"63,800",100,"63,900","64,400","63,400","232,508"
2023.01.13,"63,900","2,100","66,000","66,600","63,600","527,302"
2023.01.12,"66,000",600,"65,900","66,700","64,700","437,126"
2023.01.11,"65,400","1,600","64,300","65,700","64,000","297,456"
2023.01.10,"63,800","1,800","65,600","65,900","63,600","384,585"
2023.01.09,"65,600","2,500","63,500","65,900","63,500","405,861"
2023.01.06,"63,100","1,500","64,500","64,500","62,200","483,954"
2023.01.05,"64,600",500,"65,100","65,800","63,200","391,061"
2023.01.04,"65,100","2,900","67,500","67,600","64,600","724,974"
2023.01.03,"68,000",800,"66,900","69,400","66,500","514,102"
2023.01.02,"67,200",600,"67,800","68,200","64,300","467,158"
2022.12.29,"67,800",900,"66,500","67,900","66,200","361,815"
2022.12.28,"66,900","1,300","67,700","68,100","65,700","468,211"
2022.12.27,"68,200",900,"67,300","68,400","67,000","462,339"
2022.12.26,"67,300",400,"67,400","67,800","66,600","468,354"
2022.12.23,"66,900","1,000","66,100","67,500","66,000","346,656"
2022.12.22,"67,900","1,700","66,900","68,100","65,800","233,040"
2022.12.21,"66,200",100,"67,200","67,200","64,500","245,824"
2022.12.20,"66,300","1,200","67,200","68,200","66,200","262,712"
2022.12.19,"67,500","2,300","65,200","67,700","65,000","395,890"
2022.12.16,"65,200","1,000","63,200","65,700","63,200","258,990"
2022.12.15,"64,200","1,100","64,900","66,200","64,100","194,212"
2022.12.14,"65,300","1,500","63,900","65,500","63,700","262,979"
2022.12.13,"63,800","1,300","65,800","65,900","63,400","309,323"
2022.12.12,"65,100",100,"65,200","67,800","65,100","427,119"
2022.12.09,"65,000","1,600","64,000","65,800","64,000","358,533"
2022.12.08,"63,400",100,"63,300","64,200","62,300","356,146"
2022.12.07,"63,300",500,"63,300","64,200","62,700","286,153"
2022.12.06,"63,800",400,"64,200","64,500","62,800","262,581"
2022.12.05,"64,200",300,"64,500","66,100","64,200","234,140"
2022.12.02,"64,500",100,"64,200","65,100","63,400","281,564"
2022.12.01,"64,600","4,000","61,500","65,400","61,400","845,909"
2022.11.30,"60,600",600,"61,200","61,600","59,900","192,278"
2022.11.29,"61,200",900,"59,600","61,700","59,500","223,551"
2022.11.28,"60,300","1,300","61,400","61,600","58,800","358,079"
2022.11.25,"61,600",100,"61,900","62,600","60,800","186,750"
2022.11.24,"61,700",500,"61,000","62,000","60,600","244,646"
2022.11.23,"61,200","2,100","60,100","61,700","60,000","406,475"
2022.11.22,"59,100",300,"59,000","60,400","57,900","283,421"
2022.11.21,"59,400",100,"59,600","60,300","58,800","293,172"
2022.11.18,"59,500","2,000","61,500","61,600","59,400","389,579"
2022.11.17,"61,500","1,200","59,900","62,200","59,900","425,608"
2022.11.16,"60,300","2,100","58,700","60,400","58,300","526,564"
2022.11.15,"58,200","1,400","57,900","59,600","57,400","673,942"
2022.11.14,"56,800",0,"56,500","56,900","54,900","515,415"
2022.11.11,"56,800",800,"57,800","58,400","55,500","541,650"
2022.11.10,"56,000",700,"54,700","56,500","54,700","318,013"
2022.11.09,"55,300",500,"55,300","56,900","54,900","361,087"
2022.11.08,"54,800","1,600","53,400","55,500","53,400","447,733"
2022.11.07,"53,200",200,"53,200","54,000","52,700","218,676"
2022.11.04,"53,000",100,"52,600","53,200","51,600","296,861"
2022.11.03,"52,900","2,600","54,500","54,800","52,700","569,230"
2022.11.02,"55,500",0,"55,400","56,400","54,400","229,580"
2022.11.01,"55,500",0,"55,800","56,900","54,500","232,187"
2022.10.31,"55,500",700,"55,300","55,800","53,000","243,843"
2022.10.28,"54,800",600,"54,900","55,700","54,500","126,635"
2022.10.27,"55,400","1,300","54,600","56,000","54,400","184,331"
2022.10.26,"54,100","1,200","54,800","55,200","54,000","252,481"
2022.10.25,"55,300","1,000","54,500","56,100","53,800","284,779"
2022.10.24,"54,300","2,500","52,800","54,800","52,600","418,288"
2022.10.21,"51,800","1,100","52,300","52,900","51,200","304,190"
2022.10.20,"52,900","2,200","55,100","55,300","51,700","608,554"
2022.10.19,"55,100","1,700","57,300","57,800","55,100","258,532"
2022.10.18,"56,800",600,"58,500","58,600","55,800","310,736"
2022.10.17,"57,400",400,"57,000","58,200","56,100","727,926"
2022.10.14,"57,000","2,400","56,700","58,000","56,100","303,139"
2022.10.13,"54,600","1,900","56,000","57,800","54,500","399,525"
2022.10.12,"56,500","3,200","52,800","56,600","52,800","404,416"
2022.10.11,"53,300","2,400","54,700","54,800","52,100","362,487"
2022.10.07,"55,700","1,000","56,900","57,200","54,900","365,894"
2022.10.06,"56,700",400,"57,500","57,900","55,900","319,252"
2022.10.05,"57,100","2,500","59,900","60,200","56,800","347,017"
2022.10.04,"59,600",800,"59,700","60,100","58,500","310,248"
2022.09.30,"58,800",700,"57,500","59,300","57,300","306,060"
2022.09.29,"58,100","3,400","56,000","59,000","55,800","527,678"
2022.09.28,"54,700","3,700","58,000","58,200","54,000","453,164"
2022.09.27,"58,400","1,300","57,700","58,400","56,100","289,262"
2022.09.26,"57,100","2,700","58,600","59,500","56,700","407,908"
2022.09.23,"59,800",600,"60,400","61,500","59,100","370,688"
2022.09.22,"60,400","2,000","62,000","62,000","58,800","639,580"
2022.09.21,"62,400",100,"61,800","62,700","61,600","229,847"
2022.09.20,"62,300","1,000","61,600","62,600","61,300","231,828"
2022.09.19,"61,300",400,"61,700","63,500","61,000","476,046"
2022.09.16,"61,700",100,"61,700","62,500","60,500","477,148"
2022.09.15,"61,600",500,"61,600","62,700","61,000","263,552"
2022.09.14,"61,100","1,900","61,200","62,100","60,300","408,935"
2022.09.13,"63,000",0,"64,000","64,500","62,400","323,222"
2022.09.08,"63,000","1,400","62,300","63,400","61,700","544,362"
2022.09.07,"61,600",100,"61,800","62,700","61,200","323,956"
2022.09.06,"61,500",100,"61,900","62,000","60,100","243,833"
2022.09.05,"61,400",500,"60,900","62,600","60,800","266,843"
2022.09.02,"60,900","1,300","60,200","62,100","59,600","415,316"
2022.09.01,"59,600","1,500","60,400","60,500","59,500","234,705"
2022.08.31,"61,100",800,"59,400","61,100","59,400","216,446"
2022.08.30,"60,300","1,400","59,300","60,400","58,700","267,510"
2022.08.29,"58,900","1,800","58,400","59,300","58,000","402,047"
2022.08.26,"60,700","1,000","61,800","62,200","60,300","314,198"
2022.08.25,"61,700","1,300","60,800","62,900","60,500","542,144"
2022.08.24,"60,400","2,000","58,900","60,500","58,700","338,240"
2022.08.23,"58,400",800,"59,000","59,600","57,800","296,820"
2022.08.22,"59,200",800,"59,200","60,500","58,900","303,276"
2022.08.19,"60,000","1,000","61,100","62,700","60,000","427,547"
2022.08.18,"61,000","1,700","59,800","61,300","59,100","498,884"
2022.08.17,"59,300","1,900","60,600","61,600","58,500","668,135"
2022.08.16,"61,200","2,200","59,500","61,700","58,300","570,050"
2022.08.12,"59,000",100,"59,500","59,500","58,400","207,153"
2022.08.11,"59,100","2,300","57,800","59,500","57,100","442,148"
2022.08.10,"56,800","2,400","59,000","59,700","56,700","446,813"
2022.08.09,"59,200","1,800","57,700","60,800","57,400","608,163"
2022.08.08,"57,400",400,"56,800","57,900","56,100","251,848"
2022.08.05,"57,000",300,"57,700","57,700","55,900","245,037"
2022.08.04,"57,300",600,"58,200","58,600","56,700","327,851"
2022.08.03,"57,900","2,500","55,400","58,000","55,300","475,279"
2022.08.02,"55,400",500,"55,300","56,100","54,700","293,224"
2022.08.01,"54,900",600,"55,700","55,700","54,700","235,423"
2022.07.29,"55,500",100,"55,700","56,300","55,000","264,800"
2022.07.28,"55,400",200,"55,800","56,300","54,600","290,994"
2022.07.27,"55,200",800,"56,000","56,500","54,200","306,277"
2022.07.26,"56,000","1,100","57,800","57,800","55,200","463,844"
2022.07.25,"57,100","1,400","55,700","57,700","55,000","364,147"
2022.07.22,"55,700",800,"56,500","57,700","55,600","269,195"
2022.07.21,"56,500",0,"56,700","57,000","56,000","188,700"
2022.07.20,"56,500",700,"56,300","57,700","55,900","399,216"
2022.07.19,"55,800",700,"55,100","56,300","54,400","309,874"
2022.07.18,"55,100",0,"55,600","55,700","53,000","358,018"
2022.07.15,"55,100",200,"55,800","56,400","54,600","374,935"
2022.07.14,"55,300",500,"54,800","55,900","54,100","466,667"
2022.07.13,"54,800","2,400","52,900","55,000","52,600","508,291"
2022.07.12,"52,400","1,100","53,100","53,900","52,100","347,975"
2022.07.11,"53,500",100,"53,900","55,100","52,900","399,296"
2022.07.08,"53,400",800,"53,400","54,200","53,000","385,157"
2022.07.07,"52,600",700,"52,700","53,600","52,100","393,279"
2022.07.06,"51,900","1,700","50,800","54,400","50,000","1,029,490"
2022.07.05,"50,200",650,"49,750","51,100","49,400","421,130"
2022.07.04,"49,550","1,550","48,350","51,000","47,950","557,338"
2022.07.01,"48,000",250,"48,900","49,550","47,900","325,718"
2022.06.30,"48,250",950,"49,200","49,750","48,050","324,577"
2022.06.29,"49,200","1,400","49,500","49,850","48,300","380,825"
2022.06.28,"50,600","1,500","52,100","52,200","50,100","209,585"
2022.06.27,"52,100",300,"52,300","53,500","50,900","401,846"
2022.06.24,"51,800","4,350","48,600","51,900","48,000","681,641"
2022.06.23,"47,450","1,550","48,900","50,700","47,400","688,247"
2022.06.22,"49,000","4,700","53,700","54,600","48,900","1,310,638"
2022.06.21,"53,700",300,"54,100","54,400","53,400","214,951"
2022.06.20,"54,000",200,"54,300","54,600","52,900","351,608"
2022.06.17,"53,800","1,000","53,300","54,400","52,900","340,224"
2022.06.16,"54,800",500,"55,400","56,100","52,700","729,079"
2022.06.15,"54,300",400,"53,700","54,900","51,800","615,320"
2022.06.14,"54,700","1,600","55,100","55,500","52,800","600,785"
2022.06.13,"56,300","2,100","56,900","57,400","56,000","401,198"
2022.06.10,"58,400","1,000","58,900","59,700","58,400","248,750"
2022.06.09,"59,400",700,"58,400","59,800","58,000","545,235"
2022.06.08,"58,700","3,400","55,600","59,500","55,600","949,775"
2022.06.07,"55,300",0,"55,300","56,400","54,800","214,423"
2022.06.03,"55,300",100,"56,300","56,500","55,100","187,306"
2022.06.02,"55,400","1,500","57,300","57,400","54,700","378,058"
2022.05.31,"56,900",300,"56,700","57,100","56,100","363,362"
2022.05.30,"56,600","2,200","55,400","57,700","55,100","588,328"
2022.05.27,"54,400","1,100","54,000","55,500","53,900","328,133"
2022.05.26,"53,300",800,"54,500","55,100","53,200","278,784"
2022.05.25,"54,100","1,200","53,000","54,600","51,900","483,727"
2022.05.24,"52,900",600,"53,600","54,400","52,600","334,018"
2022.05.23,"53,500",900,"54,500","54,600","52,200","628,209"
2022.05.20,"54,400",200,"55,000","55,300","53,600","545,211"
2022.05.19,"54,600","2,400","55,700","56,100","53,800","673,627"
2022.05.18,"57,000",0,"57,500","58,300","56,900","412,108"
2022.05.17,"57,000",400,"57,500","59,000","56,000","615,641"
2022.05.16,"56,600","1,900","55,700","58,100","55,300","745,870"
2022.05.13,"54,700",800,"54,500","55,800","54,200","299,223"
2022.05.12,"53,900","2,600","55,400","55,800","52,800","934,007"
2022.05.11,"56,500",200,"56,400","59,600","55,800","715,970"
2022.05.10,"56,700",500,"55,000","57,300","51,200","2,108,883"
2022.05.09,"56,200","3,600","59,500","59,800","55,300","725,064"
2022.05.06,"59,800",200,"59,200","60,900","58,600","280,190"
2022.05.04,"60,000",100,"60,700","60,900","59,600","191,642"
2022.05.03,"60,100",600,"59,800","61,600","59,300","361,141"
2022.05.02,"59,500",100,"58,600","60,100","57,800","292,781"
2022.04.29,"59,400",500,"59,100","60,300","58,900","254,143"
2022.04.28,"58,900","1,400","60,500","60,700","58,000","346,951"
2022.04.27,"60,300",300,"58,500","61,100","58,400","570,458"
2022.04.26,"60,000","1,400","59,500","60,800","59,000","563,506"
2022.04.25,"58,600","1,000","57,100","60,000","56,700","659,106"
2022.04.22,"57,600","1,300","58,500","58,600","57,400","420,504"
2022.04.21,"58,900",0,"59,600","60,300","58,500","403,485"
2022.04.20,"58,900","1,700","60,100","60,200","57,800","775,788"
2022.04.19,"60,600","1,800","59,200","61,100","58,900","702,178"
2022.04.18,"58,800","4,600","63,400","63,400","58,000","1,100,620"
2022.04.15,"63,400","1,300","62,100","63,800","61,500","429,390"
2022.04.14,"62,100","1,400","62,800","63,900","61,900","535,138"
2022.04.13,"63,500","1,000","62,900","63,800","60,900","556,191"
2022.04.12,"62,500","2,000","63,600","64,800","61,400","916,634"
2022.04.11,"64,500",200,"64,500","65,300","63,900","434,703"
2022.04.08,"64,700","2,100","62,700","66,200","62,400","979,051"
2022.04.07,"62,600",0,"62,100","63,100","61,700","373,055"
2022.04.06,"62,600",600,"61,300","63,200","60,900","532,570"
2022.04.05,"62,000",400,"61,900","62,900","60,700","561,397"
2022.04.04,"62,400",500,"64,000","64,400","61,200","586,362"
2022.04.01,"62,900","1,500","61,400","64,300","60,700","807,102"
2022.03.31,"61,400",600,"61,000","61,900","60,100","552,664"
2022.03.30,"60,800","3,300","58,000","62,300","57,600","1,655,170"
2022.03.29,"57,500",400,"57,300","58,300","56,800","427,304"
2022.03.28,"57,100",100,"58,000","58,100","56,800","361,953"
2022.03.25,"57,200",300,"57,500","57,900","56,800","405,106"
2022.03.24,"57,500",500,"56,900","57,900","56,200","569,744"
2022.03.23,"57,000",700,"56,400","57,500","55,700","651,408"
2022.03.22,"56,300","4,400","53,100","56,800","52,800","1,602,869"
2022.03.21,"51,900",900,"53,100","53,600","51,700","267,685"
2022.03.18,"52,800",400,"52,400","53,200","51,700","385,559"
2022.03.17,"52,400",900,"54,000","54,000","51,500","611,207"
2022.03.16,"53,300",300,"53,500","53,900","51,500","433,084"
2022.03.15,"53,000",200,"53,500","54,800","51,600","573,662"
2022.03.14,"52,800",500,"53,500","54,200","52,100","474,373"
2022.03.11,"53,300","1,300","51,800","54,300","51,800","680,936"
2022.03.10,"52,000","2,000","51,200","52,900","50,000","898,538"
2022.03.08,"50,000",200,"49,500","51,000","48,900","373,007"
2022.03.07,"50,200",400,"49,950","50,800","49,300","425,108"
2022.03.04,"50,600",0,"50,300","51,100","50,000","360,482"
2022.03.03,"50,600",600,"50,600","52,000","49,850","519,763"
2022.03.02,"51,200","1,350","50,100","51,600","49,650","592,825"
2022.02.28,"49,850",600,"49,100","50,500","48,950","574,545"
2022.02.25,"49,250","1,750","48,600","49,550","47,700","967,707"
2022.02.24,"47,500","1,050","48,650","49,500","47,250","959,066"
2022.02.23,"48,550",50,"48,600","49,550","47,450","669,646"
2022.02.22,"48,500",600,"47,550","49,300","47,350","1,536,170"
2022.02.21,"47,900","3,250","44,050","47,900","43,900","1,090,976"
2022.02.18,"44,650",300,"43,600","44,900","43,550","299,807"
2022.02.17,"44,350",100,"44,650","45,400","42,900","647,479"
2022.02.16,"44,450","2,650","42,800","44,450","42,450","398,354"
2022.02.15,"41,800",850,"42,250","42,850","41,250","304,533"
2022.02.14,"42,650",150,"42,250","43,150","41,550","402,154"
2022.02.11,"42,800",900,"42,600","44,000","42,350","359,079"
2022.02.10,"43,700",800,"44,550","44,900","43,200","374,313"
2022.02.09,"44,500",300,"45,000","45,400","44,000","365,796"
2022.02.08,"44,200",200,"44,150","45,550","43,750","651,522"
2022.02.07,"44,000",250,"43,950","44,750","43,350","437,237"
2022.02.04,"44,250","2,100","41,700","44,350","41,450","551,402"
2022.02.03,"42,150","1,150","41,800","43,400","41,800","642,943"
2022.01.28,"41,000","2,650","38,700","41,100","38,200","730,383"
2022.01.27,"38,350","1,850","39,750","40,300","37,600","989,018"
2022.01.26,"40,200","1,650","41,850","42,400","39,300","867,244"
2022.01.25,"41,850",200,"42,400","43,000","41,400","393,877"
2022.01.24,"42,050","2,450","43,800","44,100","41,800","464,135"
2022.01.21,"44,500",900,"44,650","45,250","43,900","276,215"
2022.01.20,"45,400","1,400","43,750","45,500","43,750","366,209"
2022.01.19,"44,000","1,050","44,750","45,000","43,350","362,730"
2022.01.18,"45,050",350,"45,050","45,800","44,300","315,711"
2022.01.17,"44,700",300,"44,000","45,200","44,000","230,541"
2022.01.14,"44,400","1,100","44,400","45,100","43,900","441,431"
2022.01.13,"45,500",400,"46,000","46,650","45,500","511,383"
2022.01.12,"45,900",200,"46,150","46,500","45,650","400,997"
2022.01.11,"45,700",450,"45,450","45,900","44,800","414,539"
2022.01.10,"45,250",500,"45,050","45,500","43,900","367,839"
2022.01.07,"45,750",900,"44,900","46,000","44,900","317,765"
2022.01.06,"44,850","2,100","46,150","46,700","44,800","578,260"
2022.01.05,"46,950","1,100","48,000","48,000","46,500","361,791"
2022.01.04,"48,050","2,650","51,000","51,100","47,800","659,142"
2022.01.03,"50,700",0,"51,000","52,000","50,500","336,857"
2021.12.30,"50,700",400,"50,500","51,000","49,550","274,095"
2021.12.29,"50,300","1,100","51,000","52,000","49,650","455,947"
2021.12.28,"51,400","2,200","49,600","51,700","49,500","813,314"
2021.12.27,"49,200",350,"48,900","49,450","48,000","241,640"
2021.12.24,"48,850",150,"48,800","49,250","48,500","176,544"
2021.12.23,"48,700",950,"49,850","50,200","48,400","274,377"
2021.12.22,"49,650",500,"49,700","50,300","49,250","356,866"
2021.12.21,"49,150","2,150","47,050","49,200","47,050","586,572"
2021.12.20,"47,000",650,"47,500","48,300","46,950","279,593"
2021.12.17,"47,650",800,"47,950","48,050","46,800","435,864"
2021.12.16,"48,450","1,750","47,450","49,300","47,400","435,808"
2021.12.15,"46,700",150,"46,850","47,100","46,350","195,048"
2021.12.14,"46,850",350,"46,550","48,000","46,500","229,882"
2021.12.13,"47,200",450,"47,900","48,400","47,200","304,312"
2021.12.10,"47,650","1,000","48,350","49,400","47,650","415,727"
2021.12.09,"48,650",400,"48,600","49,600","48,300","484,493"
2021.12.08,"48,250",250,"49,100","49,250","47,650","553,613"
2021.12.07,"48,000","1,500","47,200","49,000","46,550","841,361"
2021.12.06,"46,500",700,"47,050","47,150","45,500","475,762"
2021.12.03,"47,200","2,850","45,200","47,400","44,550","743,507"
2021.12.02,"44,350","1,300","45,000","45,550","43,000","630,586"
2021.12.01,"45,650",250,"45,600","45,850","44,050","463,046"
2021.11.30,"45,400","1,650","47,500","48,150","45,100","452,038"
2021.11.29,"47,050",350,"45,950","48,450","45,500","634,264"
2021.11.26,"47,400","2,500","49,950","50,500","46,700","907,002"
2021.11.25,"49,900",700,"50,300","51,100","49,800","363,312"
2021.11.24,"50,600",800,"49,800","51,400","49,100","658,063"
2021.11.23,"49,800",600,"49,100","50,300","48,900","533,877"
2021.11.22,"50,400","1,100","51,500","52,000","48,800","1,016,121"
2021.11.19,"51,500","3,200","54,900","55,400","51,500","914,282"
2021.11.18,"54,700",700,"55,700","56,000","53,000","711,919"
2021.11.17,"55,400","1,400","54,400","58,500","53,400","1,867,416"
2021.11.16,"54,000",700,"53,800","54,200","51,800","800,004"
2021.11.15,"53,300","1,500","52,100","53,300","51,600","643,162"
2021.11.12,"51,800","1,200","54,000","54,600","51,600","739,942"
2021.11.11,"53,000",900,"51,400","53,500","50,900","755,274"
2021.11.10,"52,100","2,100","53,700","54,000","51,000","832,933"
2021.11.09,"54,200","1,600","52,800","54,800","51,800","848,226"
2021.11.08,"52,600","1,500","51,100","52,800","50,200","669,219"
2021.11.05,"51,100","1,900","53,300","54,300","50,200","1,222,269"
2021.11.04,"53,000",100,"53,600","54,300","52,200","677,561"
2021.11.03,"52,900",800,"53,700","54,200","52,500","465,570"
2021.11.02,"53,700",400,"54,200","54,300","52,400","552,262"
2021.11.01,"53,300",900,"53,600","54,800","51,100","954,565"
2021.10.29,"52,400",100,"52,700","53,200","51,100","584,619"
2021.10.28,"52,300","1,300","53,500","54,300","51,600","840,163"
2021.10.27,"53,600",200,"52,900","54,500","52,700","1,010,302"
2021.10.26,"53,400","4,400","49,300","53,500","49,000","1,524,111"
2021.10.25,"49,000","1,000","50,300","51,600","48,700","887,598"
2021.10.22,"50,000",500,"49,350","50,600","49,000","998,742"
2021.10.21,"49,500",550,"48,900","51,400","48,650","2,203,924"
2021.10.20,"48,950","5,050","44,350","49,850","44,200","5,016,388"
2021.10.19,"43,900","1,100","43,300","44,350","42,600","740,315"
2021.10.18,"42,800",850,"42,200","43,150","41,900","462,842"
